District_Eng,Taluka_Eng,No_Of_Victims_Shifted,Avg_No_Of_Ambulance,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Jamnagar,Jamjodhpur,197,1,16,89,14,14,64,1/31/2018 0:00
Banaskantha,Dantiwada,187,1,1,109,6,24,47,1/31/2018 0:00
Rajkot,Gondal,287,2,13,125,16,47,86,1/31/2018 0:00
Kachchh,Bhuj,806,6,23,323,44,94,322,1/31/2018 0:00
Rajkot,Paddhari,146,1,7,73,7,16,43,1/31/2018 0:00
Amreli,Lathi,296,2,13,182,7,23,71,1/31/2018 0:00
Morbi,Maliya,138,1,8,77,12,13,28,1/31/2018 0:00
Devbhumi-Dwarka,Khambhalia,292,1,19,97,15,26,135,1/31/2018 0:00
Vadodara,Savali,283,1,7,113,15,60,88,1/31/2018 0:00
Kachchh,Nakhatrana,479,4,13,320,14,22,110,1/31/2018 0:00
Sabarkantha,Vadali,163,1,5,62,5,18,73,1/31/2018 0:00
Jamnagar,Kalavad,210,1,12,106,10,22,60,1/31/2018 0:00
Junagadh,Junagadh,281,0,25,82,16,19,139,1/31/2018 0:00
Navsari,Gandevi,233,2,10,63,19,27,114,1/31/2018 0:00
Banaskantha,Vadgam,305,2,13,120,16,30,126,1/31/2018 0:00
Junagadh,Manavadar,153,1,15,57,9,14,58,1/31/2018 0:00
Tapi,Vyara,638,4,38,174,21,76,329,1/31/2018 0:00
Anand,Tarapur,248,3,16,113,18,44,57,1/31/2018 0:00
Chhotaudepur,Kawant,453,3,8,200,20,33,192,1/31/2018 0:00
Surat,Bardoli,299,3,7,94,20,53,125,1/31/2018 0:00
Bhavnagar,Ghogha,210,2,24,80,11,25,70,1/31/2018 0:00
Kheda,Galteshwar,96,0,2,59,5,18,12,1/31/2018 0:00
Rajkot,Lodhika,186,1,7,68,14,26,71,1/31/2018 0:00
Bhavnagar,Vallabhipur,107,1,4,66,2,14,21,1/31/2018 0:00
Junagadh,Bhesan,126,1,5,48,9,8,56,1/31/2018 0:00
Navsari,Jalalpore,288,2,12,83,31,37,125,1/31/2018 0:00
Amreli,Lilia,193,1,12,118,6,8,49,1/31/2018 0:00
Panchmahals,Jambughoda,165,1,4,61,4,11,85,1/31/2018 0:00
The Dangs,Subir,135,2,3,67,3,6,56,1/31/2018 0:00
Chhotaudepur,Chhhota Udepur,721,5,14,399,29,34,245,1/31/2018 0:00
Chhotaudepur,Naswadi,180,1,1,111,4,24,40,1/31/2018 0:00
Surendranagar,Wadhwan,235,3,14,81,13,26,101,1/31/2018 0:00
Ahmedabad,Viramgam,309,2,3,226,16,18,46,1/31/2018 0:00
Navsari,Khergam,149,2,14,28,13,19,75,1/31/2018 0:00
Patan,Chanasma,189,1,12,41,8,17,111,1/31/2018 0:00
Chhotaudepur,Pavi Jetpur,324,3,9,166,15,35,99,1/31/2018 0:00
Gir Somnath,Una,544,4,10,350,14,80,90,1/31/2018 0:00
Junagadh,Maliyahatina,267,2,12,146,11,27,71,1/31/2018 0:00
Mahisagar,Lunavada,354,3,17,182,18,24,113,1/31/2018 0:00
Banaskantha,Danta,607,3,5,369,13,28,192,1/31/2018 0:00
Banaskantha,Deodar,275,1,2,138,6,24,105,1/31/2018 0:00
Bharuch,Bharuch,531,5,16,169,27,123,196,1/31/2018 0:00
Kheda,Vaso,22,0,0,9,0,3,10,1/31/2018 0:00
Valsad,Vapi,94,0,5,11,7,29,42,1/31/2018 0:00
Bhavnagar,Ranghola(Umrala),99,1,9,59,3,3,25,1/31/2018 0:00
Botad,Barwala,94,1,1,56,4,10,23,1/31/2018 0:00
Navsari,Vansada,628,3,24,224,22,72,286,1/31/2018 0:00
Valsad,Umargam,215,2,5,66,9,61,74,1/31/2018 0:00
Devbhumi-Dwarka,Kalyanpur,230,3,20,113,11,14,72,1/31/2018 0:00
Panchmahals,Shehra,486,1,10,148,24,30,274,1/31/2018 0:00
Sabarkantha,Talod,184,1,6,83,13,24,58,1/31/2018 0:00
Surendranagar,Lakhtar,140,1,10,78,5,14,33,1/31/2018 0:00
Vadodara,Dabhoi,228,1,5,112,11,33,67,1/31/2018 0:00
Mahesana,Gojaria,17,0,4,3,1,4,5,1/31/2018 0:00
Mahesana,Mehsana,674,3,22,115,20,126,391,1/31/2018 0:00
Mahisagar,Kadana,182,2,3,91,10,8,70,1/31/2018 0:00
Sabarkantha,Idar,404,3,9,208,24,41,122,1/31/2018 0:00
Amreli,Kukavav,210,2,14,87,12,23,74,1/31/2018 0:00
Porbandar,Kutiyana,139,2,8,46,2,25,58,1/31/2018 0:00
Rajkot,Upleta,168,1,9,67,6,20,66,1/31/2018 0:00
Surat,Mangrol,272,1,9,95,8,36,124,1/31/2018 0:00
Tapi,Valod,172,1,8,42,14,16,92,1/31/2018 0:00
Aravalli,Bhiloda,290,2,11,64,25,41,149,1/31/2018 0:00
Chhotaudepur,Bodeli,247,0,1,112,9,57,68,1/31/2018 0:00
Narmada,Sagbara,212,1,1,151,3,22,35,1/31/2018 0:00
Porbandar,Ranavav,241,1,18,103,17,14,89,1/31/2018 0:00
Surat,Umarpada,253,3,4,74,8,21,146,1/31/2018 0:00
Bharuch,Hansot,64,1,2,33,3,14,12,1/31/2018 0:00
Gandhinagar,Kalol,312,2,21,68,26,74,123,1/31/2018 0:00
Junagadh,Keshod,211,1,10,88,8,43,62,1/31/2018 0:00
Narmada,Tilakwada,164,1,7,56,13,12,76,1/31/2018 0:00
Patan,Santalpur,156,2,6,125,3,8,14,1/31/2018 0:00
Jamnagar,Jodiya,115,1,11,63,7,8,26,1/31/2018 0:00
Kheda,Kathlal,205,2,9,82,21,29,64,1/31/2018 0:00
Mahisagar,Virpur,166,1,12,86,8,9,51,1/31/2018 0:00
Patan,Sankheshwar,121,1,2,51,2,7,59,1/31/2018 0:00
Porbandar,Porbandar City,512,5,40,123,35,70,244,1/31/2018 0:00
Ahmedabad,Dholera,131,1,2,67,3,22,37,1/31/2018 0:00
Anand,Ode(Umreth),297,3,21,120,18,57,81,1/31/2018 0:00
Bhavnagar,Palitana,185,1,12,114,7,13,39,1/31/2018 0:00
Dahod,Devgadhbariya,554,3,10,223,15,57,249,1/31/2018 0:00
Kachchh,Anjar,406,2,4,158,18,29,197,1/31/2018 0:00
Kachchh,Bhachau,370,3,17,191,11,43,108,1/31/2018 0:00
Sabarkantha,Prantij,162,1,8,57,14,27,56,1/31/2018 0:00
Banaskantha,Lakhani,150,0,4,48,7,9,82,1/31/2018 0:00
Banaskantha,Palanpur,467,1,10,154,21,50,232,1/31/2018 0:00
Dahod,Fatehpura,596,3,5,321,14,47,209,1/31/2018 0:00
Devbhumi-Dwarka,Bhanvad,138,1,10,66,5,18,39,1/31/2018 0:00
Surendranagar,Sayla,149,1,9,83,1,24,32,1/31/2018 0:00
Ahmedabad,Daskroi,430,3,33,86,47,65,199,1/31/2018 0:00
Aravalli,Modasa,184,1,7,62,15,34,66,1/31/2018 0:00
Banaskantha,Bhabhar,94,1,4,43,6,23,18,1/31/2018 0:00
Junagadh,Mendarda,166,1,14,85,6,17,44,1/31/2018 0:00
Mahesana,Vadnagar,312,2,11,45,13,15,228,1/31/2018 0:00
Gandhinagar,Mansa,369,2,16,161,23,49,120,1/31/2018 0:00
Patan,Siddhpur,137,1,6,48,8,20,55,1/31/2018 0:00
Surat,Olpad,315,3,10,155,16,57,77,1/31/2018 0:00
Vadodara,Karjan,322,2,6,133,15,68,100,1/31/2018 0:00
Vadodara,Sinor,125,1,6,64,8,12,35,1/31/2018 0:00
Dahod,Dahod,954,7,13,550,42,48,301,1/31/2018 0:00
Mahesana,Kheralu,267,1,3,42,5,19,198,1/31/2018 0:00
Patan,Saraswati,211,3,11,99,8,16,77,1/31/2018 0:00
Rajkot,Vinchhiya,104,1,1,82,3,4,14,1/31/2018 0:00
Tapi,Uchchhal,321,2,19,107,19,24,152,1/31/2018 0:00
Kachchh,Abdasa,382,4,8,128,9,36,201,1/31/2018 0:00
Kachchh,Rapar,333,3,3,233,9,21,67,1/31/2018 0:00
Patan,Radhanpur,105,1,3,60,0,18,24,1/31/2018 0:00
Surendranagar,Chotila,225,2,9,123,11,31,51,1/31/2018 0:00
Vadodara,Padra,666,4,36,267,50,57,256,1/31/2018 0:00
Banaskantha,Suigam,154,1,1,111,0,14,29,1/31/2018 0:00
Kachchh,Mundra,135,1,5,61,7,21,41,1/31/2018 0:00
Mahesana,Becharaji,268,1,4,27,7,19,211,1/31/2018 0:00
Rajkot,Rajkot City,2236,13,181,327,224,295,1209,1/31/2018 0:00
Sabarkantha,Khedbrahma,306,2,9,195,4,28,70,1/31/2018 0:00
Surat,Kamrej,295,1,7,97,7,82,102,1/31/2018 0:00
Banaskantha,Deesa,390,4,10,150,21,63,146,1/31/2018 0:00
Bharuch,Amod,162,1,3,92,11,14,42,1/31/2018 0:00
Mahesana,Vijapur,337,2,17,132,18,31,139,1/31/2018 0:00
Surat,Chorasi,227,1,9,65,11,36,106,1/31/2018 0:00
Surendranagar,Dhrangadhra,233,1,8,150,8,34,33,1/31/2018 0:00
Tapi,Nizar,121,1,7,73,3,9,29,1/31/2018 0:00
Vadodara,Waghodia,329,2,5,170,17,50,87,1/31/2018 0:00
Anand,Anand,477,4,22,87,38,129,201,1/31/2018 0:00
Anand,Anklav,260,1,14,111,24,24,87,1/31/2018 0:00
Gir Somnath,Sutrapada,192,2,13,92,9,19,59,1/31/2018 0:00
Junagadh,Visavadar,216,1,13,120,6,18,59,1/31/2018 0:00
Panchmahals,Halol,515,3,12,174,17,73,239,1/31/2018 0:00
Valsad,Pardi,267,3,12,43,17,91,104,1/31/2018 0:00
Ahmedabad,Dholka,236,2,16,125,10,48,37,1/31/2018 0:00
Bhavnagar,Jesar,106,1,4,68,5,6,23,1/31/2018 0:00
Kachchh,Gandhidham,273,2,6,95,14,51,107,1/31/2018 0:00
Rajkot,Jetpur,194,1,15,71,7,35,66,1/31/2018 0:00
Surat,Mahuva,226,2,8,69,14,37,98,1/31/2018 0:00
Anand,Sojitra,129,1,3,76,4,16,30,1/31/2018 0:00
Bharuch,Netrang,288,2,9,125,12,43,99,1/31/2018 0:00
Morbi,Halvad,157,1,4,119,4,12,18,1/31/2018 0:00
Morbi,Tankara,164,1,5,85,3,26,45,1/31/2018 0:00
Panchmahals,Kalol,404,1,7,121,15,41,220,1/31/2018 0:00
Tapi,Songadh,673,4,32,202,18,50,371,1/31/2018 0:00
Banaskantha,Dhanera,137,1,2,55,8,37,35,1/31/2018 0:00
Botad,Ranpur,142,1,10,83,3,9,37,1/31/2018 0:00
Gir Somnath,Talala,196,1,9,129,1,15,42,1/31/2018 0:00
Mahesana,Jotana,106,1,4,50,2,11,39,1/31/2018 0:00
Surat,Surat,4231,20,232,473,310,739,2477,1/31/2018 0:00
Surendranagar,Muli,180,2,7,109,5,21,38,1/31/2018 0:00
Ahmedabad,Detroj,109,1,4,63,4,12,26,1/31/2018 0:00
Ahmedabad,Dhanduka,172,2,7,89,10,23,43,1/31/2018 0:00
Amreli,Khambha,139,1,8,80,5,9,37,1/31/2018 0:00
Bharuch,Jhagadia,470,2,9,165,13,35,248,1/31/2018 0:00
Dahod,Limkheda,553,3,8,295,13,30,207,1/31/2018 0:00
Gir Somnath,Patan-Veraval,283,2,14,137,17,20,95,1/31/2018 0:00
Junagadh,Junagadh City,315,4,44,25,22,36,188,1/31/2018 0:00
Aravalli,Dhansura,130,1,3,69,9,17,32,1/31/2018 0:00
Banaskantha,Tharad,219,2,1,88,7,19,104,1/31/2018 0:00
Dahod,Garbada,480,2,7,300,32,14,127,1/31/2018 0:00
Mahisagar,Santrampur,434,3,8,200,24,67,135,1/31/2018 0:00
Sabarkantha,Poshina,166,1,1,118,3,7,37,1/31/2018 0:00
Surat,Palsana,281,2,5,96,6,75,99,1/31/2018 0:00
Surendranagar,Thangadh,57,0,5,13,6,9,24,1/31/2018 0:00
Amreli,Babara,246,1,9,170,4,23,40,1/31/2018 0:00
Gandhinagar,Dehgam,502,3,41,236,35,44,146,1/31/2018 0:00
Jamnagar,Lalpur,345,1,21,168,14,27,115,1/31/2018 0:00
Junagadh,Mangrol,293,1,9,113,7,20,144,1/31/2018 0:00
Kheda,Kheda,132,2,1,62,6,26,37,1/31/2018 0:00
Sabarkantha,Himatnagar,448,3,19,184,32,72,141,1/31/2018 0:00
Surendranagar,Chuda,105,1,4,60,3,14,24,1/31/2018 0:00
Bharuch,Jambusar,236,1,8,128,8,22,70,1/31/2018 0:00
Bharuch,Vagra,164,2,1,107,4,14,38,1/31/2018 0:00
Kheda,Mahemdavad,225,2,18,87,15,35,70,1/31/2018 0:00
Patan,Harij,123,1,12,49,3,10,48,1/31/2018 0:00
Surendranagar,Dasada,283,2,6,176,7,33,61,1/31/2018 0:00
Amreli,Bagasara,113,1,10,58,4,9,32,1/31/2018 0:00
Banaskantha,Kankrej,340,2,3,214,7,20,96,1/31/2018 0:00
Bharuch,Valia,263,1,6,98,8,39,112,1/31/2018 0:00
Bhavnagar,Mahuva,438,4,32,261,12,29,104,1/31/2018 0:00
Dahod,Jhalod,1044,7,19,657,30,49,289,1/31/2018 0:00
Devbhumi-Dwarka,Okhamandal/ Dwarka,427,3,26,179,15,26,181,1/31/2018 0:00
Navsari,Chikhli,454,2,17,139,39,65,194,1/31/2018 0:00
Vadodara,Desar,113,1,2,54,2,8,47,1/31/2018 0:00
Ahmedabad,Ahmedabad City,13335,52,1311,1014,1657,1485,7868,1/31/2018 0:00
Anand,Borsad,238,2,13,93,18,34,80,1/31/2018 0:00
Aravalli,Bayad,269,2,9,145,11,28,76,1/31/2018 0:00
Kachchh,Dayapar(Lakhpat),158,2,9,84,6,7,52,1/31/2018 0:00
Morbi,Morvi,487,4,22,185,13,84,183,1/31/2018 0:00
Rajkot,Kotada Sanghani,145,1,7,52,12,17,57,1/31/2018 0:00
Sabarkantha,Vijaynagar,167,1,4,57,6,18,82,1/31/2018 0:00
Surendranagar,Limbdi,284,3,14,126,13,55,76,1/31/2018 0:00
Ahmedabad,Bavla,317,2,9,152,10,88,58,1/31/2018 0:00
Amreli,Savarkundla,338,2,12,189,19,44,74,1/31/2018 0:00
Anand,Khambhat,294,2,7,157,12,32,86,1/31/2018 0:00
Bhavnagar,Talaja,354,2,20,208,16,42,68,1/31/2018 0:00
Jamnagar,Jamnagar City,1218,9,93,264,117,131,613,1/31/2018 0:00
Mahesana,Satlasana,125,1,3,58,5,16,43,1/31/2018 0:00
Narmada,Dediapada,482,5,6,277,4,43,152,1/31/2018 0:00
Narmada,Rajpipla(Nandod),432,4,18,134,16,65,199,1/31/2018 0:00
Surat,Mandvi,470,2,21,128,26,51,244,1/31/2018 0:00
Valsad,Valsad,608,4,32,55,52,162,307,1/31/2018 0:00
Bhavnagar,Bhavnagar,1344,8,157,145,166,156,720,1/31/2018 0:00
Bhavnagar,Shihor,285,2,21,137,26,30,71,1/31/2018 0:00
Botad,Gadhada,229,2,13,137,5,20,54,1/31/2018 0:00
Kachchh,Mandvi,180,2,5,98,11,9,57,1/31/2018 0:00
Mahisagar,Balasinor,196,2,11,91,7,27,60,1/31/2018 0:00
Narmada,Garudeshwar,357,1,12,102,24,19,200,1/31/2018 0:00
Valsad,Dharampur,924,5,37,242,35,77,533,1/31/2018 0:00
Aravalli,Meghraj,268,2,8,132,16,29,83,1/31/2018 0:00
Banaskantha,Vav,186,1,0,114,3,16,53,1/31/2018 0:00
Dahod,Sanjeli,151,1,2,94,5,12,38,1/31/2018 0:00
Jamnagar,Dhrol,119,2,3,55,5,16,40,1/31/2018 0:00
Kheda,Mahudha,103,1,8,23,9,12,51,1/31/2018 0:00
Mahesana,Kadi,409,2,11,101,12,56,229,1/31/2018 0:00
Rajkot,Jamkandorna,121,1,8,46,1,20,46,1/31/2018 0:00
The Dangs,Vaghai,184,1,7,72,10,22,73,1/31/2018 0:00
Valsad,Kaprada,891,6,21,409,26,79,356,1/31/2018 0:00
Amreli,Jafrabad,116,1,1,71,0,19,25,1/31/2018 0:00
Bhavnagar,Gariyadhar,133,1,11,74,4,17,27,1/31/2018 0:00
Botad,Botad,290,3,8,158,16,31,77,1/31/2018 0:00
Dahod,Dhanpur,277,1,4,169,10,16,78,1/31/2018 0:00
Gir Somnath,Girgadhada,204,0,14,141,6,4,39,1/31/2018 0:00
Kheda,Kapadvanj,357,3,14,202,15,26,100,1/31/2018 0:00
Kheda,Limbasi(Matar),189,1,8,104,10,21,46,1/31/2018 0:00
Mahesana,Visnagar,361,1,12,47,16,41,245,1/31/2018 0:00
Panchmahals,Ghoghamba,307,2,4,137,12,29,125,1/31/2018 0:00
Rajkot,Dhoraji,116,1,11,55,6,22,22,1/31/2018 0:00
Vadodara,Vadodara City,2742,16,147,349,251,496,1499,1/31/2018 0:00
Amreli,Amreli,464,4,40,191,25,35,173,1/31/2018 0:00
Banaskantha,Amirgadh,287,2,2,129,7,30,119,1/31/2018 0:00
Gandhinagar,Gandhinagar,1016,7,62,154,66,228,506,1/31/2018 0:00
Kheda,Nadiad,374,2,31,56,38,101,148,1/31/2018 0:00
Mahisagar,Khanpur (Vadagam),154,1,10,100,2,11,31,1/31/2018 0:00
Panchmahals,Godhra,676,6,15,232,33,72,324,1/31/2018 0:00
Patan,Sami,193,2,4,131,5,23,30,1/31/2018 0:00
Amreli,Dhari,353,2,27,186,9,17,114,1/31/2018 0:00
Amreli,Rajula,224,2,5,159,8,11,41,1/31/2018 0:00
Bharuch,Ankleshwar,424,2,6,188,13,90,127,1/31/2018 0:00
Chhotaudepur,Sankheda,197,2,1,118,6,20,52,1/31/2018 0:00
Gir Somnath,Kodinar,252,2,15,132,3,38,64,1/31/2018 0:00
Junagadh,Vanthali,158,1,15,38,12,26,67,1/31/2018 0:00
Kheda,Thasara,300,2,8,146,16,38,92,1/31/2018 0:00
Morbi,Wankaner,234,1,10,94,7,31,92,1/31/2018 0:00
Navsari,Navsari,384,3,19,93,33,47,192,1/31/2018 0:00
Rajkot,Jasdan,232,2,11,136,8,25,52,1/31/2018 0:00
The Dangs,Ahwa,303,4,9,118,7,26,143,1/31/2018 0:00
Ahmedabad,Mandal,120,1,3,79,3,10,25,1/31/2018 0:00
Ahmedabad,Sanand,245,1,6,110,12,45,72,1/31/2018 0:00
Anand,Petlad,233,1,9,86,18,40,80,1/31/2018 0:00
Aravalli,Malpur,165,1,3,84,8,12,58,1/31/2018 0:00
Mahesana,Unjha,285,1,9,53,7,31,185,1/31/2018 0:00
Panchmahals,Morva,217,2,4,113,11,18,71,1/31/2018 0:00
Patan,Patan,255,2,15,77,27,27,109,1/31/2018 0:00
Jamnagar,Jamjodhpur,200,1,15,80,6,23,76,2/28/2018 0:00
Kachchh,Bhuj,903,6,27,327,50,60,439,2/28/2018 0:00
Rajkot,Paddhari,111,1,5,48,4,16,38,2/28/2018 0:00
Banaskantha,Dantiwada,173,1,5,95,4,25,44,2/28/2018 0:00
Rajkot,Gondal,249,2,3,93,10,46,97,2/28/2018 0:00
Amreli,Lathi,298,2,9,155,16,23,95,2/28/2018 0:00
Morbi,Maliya,124,1,5,59,2,17,41,2/28/2018 0:00
Jamnagar,Kalavad,176,1,11,84,6,21,54,2/28/2018 0:00
Junagadh,Junagadh,342,0,28,86,23,35,170,2/28/2018 0:00
Navsari,Gandevi,222,2,11,24,29,32,126,2/28/2018 0:00
Kachchh,Nakhatrana,442,4,25,252,14,27,124,2/28/2018 0:00
Sabarkantha,Vadali,113,1,10,47,4,19,33,2/28/2018 0:00
Banaskantha,Vadgam,265,2,12,113,27,24,89,2/28/2018 0:00
Junagadh,Manavadar,121,1,7,37,3,19,55,2/28/2018 0:00
Tapi,Vyara,595,4,27,148,23,87,310,2/28/2018 0:00
Bhavnagar,Ghogha,194,2,16,64,5,19,90,2/28/2018 0:00
Kheda,Galteshwar,75,0,3,50,4,6,12,2/28/2018 0:00
Rajkot,Lodhika,137,1,8,53,7,23,46,2/28/2018 0:00
Bhavnagar,Vallabhipur,112,1,6,62,6,15,23,2/28/2018 0:00
Junagadh,Bhesan,101,1,7,43,11,12,28,2/28/2018 0:00
Navsari,Jalalpore,230,2,19,43,24,36,108,2/28/2018 0:00
Amreli,Lilia,154,1,6,99,2,0,47,2/28/2018 0:00
Panchmahals,Jambughoda,149,1,4,34,1,11,99,2/28/2018 0:00
The Dangs,Subir,125,2,2,54,2,9,58,2/28/2018 0:00
Chhotaudepur,Chhhota Udepur,728,5,12,389,22,49,256,2/28/2018 0:00
Chhotaudepur,Naswadi,196,1,2,130,3,18,43,2/28/2018 0:00
Surendranagar,Wadhwan,220,3,11,71,15,35,88,2/28/2018 0:00
Anand,Tarapur,202,3,11,85,14,43,49,2/28/2018 0:00
Chhotaudepur,Kawant,392,3,10,184,10,33,155,2/28/2018 0:00
Surat,Bardoli,257,3,5,100,10,39,103,2/28/2018 0:00
Banaskantha,Danta,562,3,9,403,12,23,115,2/28/2018 0:00
Banaskantha,Deodar,149,1,3,89,4,10,43,2/28/2018 0:00
Bharuch,Bharuch,461,5,16,172,30,92,150,2/28/2018 0:00
Kheda,Vaso,39,0,2,9,6,8,14,2/28/2018 0:00
Valsad,Vapi,94,0,2,17,6,34,35,2/28/2018 0:00
Ahmedabad,Viramgam,232,2,1,152,9,24,46,2/28/2018 0:00
Navsari,Khergam,170,2,15,42,14,27,72,2/28/2018 0:00
Patan,Chanasma,125,1,11,34,8,13,59,2/28/2018 0:00
Banaskantha,Lakhani,112,0,4,27,6,10,65,2/28/2018 0:00
Banaskantha,Palanpur,302,1,14,115,19,29,125,2/28/2018 0:00
Dahod,Fatehpura,511,3,12,276,14,22,187,2/28/2018 0:00
Devbhumi-Dwarka,Bhanvad,111,1,13,34,6,12,46,2/28/2018 0:00
Surendranagar,Sayla,115,1,4,66,3,22,20,2/28/2018 0:00
Amreli,Kukavav,166,2,11,79,10,18,48,2/28/2018 0:00
Porbandar,Kutiyana,131,2,13,43,10,13,52,2/28/2018 0:00
Rajkot,Upleta,127,1,5,50,6,18,48,2/28/2018 0:00
Surat,Mangrol,257,1,4,100,14,30,109,2/28/2018 0:00
Tapi,Valod,140,1,4,55,5,12,64,2/28/2018 0:00
Bhavnagar,Ranghola(Umrala),77,1,9,37,2,17,12,2/28/2018 0:00
Botad,Barwala,80,1,3,48,4,10,15,2/28/2018 0:00
Navsari,Vansada,587,3,27,207,30,71,252,2/28/2018 0:00
Valsad,Umargam,224,2,7,84,14,49,70,2/28/2018 0:00
Mahesana,Gojaria,12,0,1,1,2,3,5,2/28/2018 0:00
Mahesana,Mehsana,522,3,19,74,35,81,313,2/28/2018 0:00
Mahisagar,Kadana,266,2,9,121,7,18,111,2/28/2018 0:00
Sabarkantha,Idar,383,3,22,199,22,44,96,2/28/2018 0:00
Aravalli,Bhiloda,261,2,13,55,25,44,124,2/28/2018 0:00
Chhotaudepur,Bodeli,205,0,10,83,10,44,58,2/28/2018 0:00
Narmada,Sagbara,199,1,4,144,2,17,32,2/28/2018 0:00
Porbandar,Ranavav,242,1,12,90,14,30,96,2/28/2018 0:00
Surat,Umarpada,265,3,7,87,5,23,143,2/28/2018 0:00
Devbhumi-Dwarka,Kalyanpur,209,3,7,103,13,19,67,2/28/2018 0:00
Panchmahals,Shehra,460,1,14,144,23,38,241,2/28/2018 0:00
Sabarkantha,Talod,163,1,8,53,15,37,50,2/28/2018 0:00
Surendranagar,Lakhtar,129,1,6,70,9,7,37,2/28/2018 0:00
Vadodara,Dabhoi,196,1,2,92,5,28,69,2/28/2018 0:00
Chhotaudepur,Pavi Jetpur,273,3,4,143,11,35,80,2/28/2018 0:00
Gir Somnath,Una,471,4,14,285,16,74,82,2/28/2018 0:00
Junagadh,Maliyahatina,231,2,13,102,12,28,76,2/28/2018 0:00
Mahisagar,Lunavada,315,3,15,125,30,29,116,2/28/2018 0:00
Dahod,Dahod,910,7,22,502,51,70,265,2/28/2018 0:00
Mahesana,Kheralu,288,1,5,27,12,14,230,2/28/2018 0:00
Patan,Saraswati,200,3,5,120,9,12,54,2/28/2018 0:00
Rajkot,Vinchhiya,89,1,2,55,2,7,23,2/28/2018 0:00
Tapi,Uchchhal,212,2,7,76,11,14,104,2/28/2018 0:00
Bharuch,Hansot,73,1,1,31,3,12,26,2/28/2018 0:00
Gandhinagar,Kalol,249,2,7,69,17,60,96,2/28/2018 0:00
Junagadh,Keshod,204,1,16,74,7,40,67,2/28/2018 0:00
Narmada,Tilakwada,167,1,10,45,12,13,87,2/28/2018 0:00
Patan,Santalpur,212,2,8,147,4,7,46,2/28/2018 0:00
Kachchh,Abdasa,314,4,11,162,11,26,104,2/28/2018 0:00
Kachchh,Rapar,305,3,4,194,7,28,72,2/28/2018 0:00
Patan,Radhanpur,122,1,4,58,6,22,32,2/28/2018 0:00
Surendranagar,Chotila,188,2,4,92,9,35,48,2/28/2018 0:00
Vadodara,Padra,637,4,29,198,77,81,252,2/28/2018 0:00
Bharuch,Jambusar,242,1,6,122,7,30,77,2/28/2018 0:00
Bharuch,Vagra,125,2,4,48,9,21,43,2/28/2018 0:00
Kheda,Mahemdavad,190,2,19,57,18,38,58,2/28/2018 0:00
Patan,Harij,143,1,2,45,6,24,66,2/28/2018 0:00
Surendranagar,Dasada,194,2,8,97,10,23,56,2/28/2018 0:00
Jamnagar,Jodiya,98,1,10,36,5,9,38,2/28/2018 0:00
Kheda,Kathlal,211,2,10,90,13,35,63,2/28/2018 0:00
Mahisagar,Virpur,156,1,5,83,10,7,51,2/28/2018 0:00
Patan,Sankheshwar,155,1,5,56,8,11,75,2/28/2018 0:00
Porbandar,Porbandar City,450,5,38,97,27,64,224,2/28/2018 0:00
Ahmedabad,Dholka,246,2,13,130,10,36,57,2/28/2018 0:00
Bhavnagar,Jesar,99,1,10,47,7,4,31,2/28/2018 0:00
Kachchh,Gandhidham,232,2,2,49,17,56,108,2/28/2018 0:00
Rajkot,Jetpur,178,1,11,52,9,41,65,2/28/2018 0:00
Surat,Mahuva,193,2,4,74,14,22,79,2/28/2018 0:00
Amreli,Amreli,421,4,29,125,30,61,176,2/28/2018 0:00
Banaskantha,Amirgadh,192,2,3,85,7,23,74,2/28/2018 0:00
Gandhinagar,Gandhinagar,934,7,68,111,82,212,461,2/28/2018 0:00
Kheda,Nadiad,354,2,25,82,25,96,126,2/28/2018 0:00
Mahisagar,Khanpur (Vadagam),130,1,8,76,3,12,31,2/28/2018 0:00
Panchmahals,Godhra,608,6,15,149,34,101,309,2/28/2018 0:00
Patan,Sami,230,2,9,102,5,27,87,2/28/2018 0:00
Anand,Anand,423,4,20,72,38,122,171,2/28/2018 0:00
Anand,Anklav,231,1,13,86,23,28,81,2/28/2018 0:00
Gir Somnath,Sutrapada,217,2,23,108,8,18,60,2/28/2018 0:00
Junagadh,Visavadar,209,1,15,99,9,23,63,2/28/2018 0:00
Panchmahals,Halol,425,3,8,144,9,91,173,2/28/2018 0:00
Valsad,Pardi,230,3,13,26,15,69,107,2/28/2018 0:00
Gandhinagar,Mansa,289,2,24,115,25,40,85,2/28/2018 0:00
Patan,Siddhpur,124,1,7,45,9,21,42,2/28/2018 0:00
Surat,Olpad,284,3,5,128,7,58,86,2/28/2018 0:00
Vadodara,Karjan,320,2,9,127,12,75,97,2/28/2018 0:00
Vadodara,Sinor,123,1,2,50,7,22,42,2/28/2018 0:00
Amreli,Bagasara,107,1,7,51,9,12,28,2/28/2018 0:00
Banaskantha,Kankrej,391,2,9,194,9,38,141,2/28/2018 0:00
Bharuch,Valia,227,1,5,79,14,26,103,2/28/2018 0:00
Bhavnagar,Mahuva,405,4,16,219,16,41,113,2/28/2018 0:00
Dahod,Jhalod,953,7,14,519,59,74,287,2/28/2018 0:00
Devbhumi-Dwarka,Okhamandal/ Dwarka,425,3,19,156,22,30,198,2/28/2018 0:00
