District_Eng,No_Of_Victims_Shifted,Cardiac,Pregnancy,Respiratory,Trauma,Others,AsOnDt
Jamnagar,197,16,89,14,14,64,1/31/2018 0:00
Banaskantha,187,1,109,6,24,47,1/31/2018 0:00
Rajkot,287,13,125,16,47,86,1/31/2018 0:00
Kachchh,806,23,323,44,94,322,1/31/2018 0:00
Rajkot,146,7,73,7,16,43,1/31/2018 0:00
Amreli,296,13,182,7,23,71,1/31/2018 0:00
Morbi,138,8,77,12,13,28,1/31/2018 0:00
Devbhumi-Dwarka,292,19,97,15,26,135,1/31/2018 0:00
Vadodara,283,7,113,15,60,88,1/31/2018 0:00
Kachchh,479,13,320,14,22,110,1/31/2018 0:00
Sabarkantha,163,5,62,5,18,73,1/31/2018 0:00
Jamnagar,210,12,106,10,22,60,1/31/2018 0:00
Junagadh,281,25,82,16,19,139,1/31/2018 0:00
Navsari,233,10,63,19,27,114,1/31/2018 0:00
Banaskantha,305,13,120,16,30,126,1/31/2018 0:00
Junagadh,153,15,57,9,14,58,1/31/2018 0:00
Tapi,638,38,174,21,76,329,1/31/2018 0:00
Anand,248,16,113,18,44,57,1/31/2018 0:00
Chhotaudepur,453,8,200,20,33,192,1/31/2018 0:00
Surat,299,7,94,20,53,125,1/31/2018 0:00
Bhavnagar,210,24,80,11,25,70,1/31/2018 0:00
Kheda,96,2,59,5,18,12,1/31/2018 0:00
Rajkot,186,7,68,14,26,71,1/31/2018 0:00
Bhavnagar,107,4,66,2,14,21,1/31/2018 0:00
Junagadh,126,5,48,9,8,56,1/31/2018 0:00
Navsari,288,12,83,31,37,125,1/31/2018 0:00
Amreli,193,12,118,6,8,49,1/31/2018 0:00
Panchmahals,165,4,61,4,11,85,1/31/2018 0:00
The Dangs,135,3,67,3,6,56,1/31/2018 0:00
Chhotaudepur,721,14,399,29,34,245,1/31/2018 0:00
Chhotaudepur,180,1,111,4,24,40,1/31/2018 0:00
Surendranagar,235,14,81,13,26,101,1/31/2018 0:00
Ahmedabad,309,3,226,16,18,46,1/31/2018 0:00
Navsari,149,14,28,13,19,75,1/31/2018 0:00
Patan,189,12,41,8,17,111,1/31/2018 0:00
Chhotaudepur,324,9,166,15,35,99,1/31/2018 0:00
Gir Somnath,544,10,350,14,80,90,1/31/2018 0:00
Junagadh,267,12,146,11,27,71,1/31/2018 0:00
Mahisagar,354,17,182,18,24,113,1/31/2018 0:00
Banaskantha,607,5,369,13,28,192,1/31/2018 0:00
Banaskantha,275,2,138,6,24,105,1/31/2018 0:00
Bharuch,531,16,169,27,123,196,1/31/2018 0:00
Kheda,22,0,9,0,3,10,1/31/2018 0:00
Valsad,94,5,11,7,29,42,1/31/2018 0:00
Bhavnagar,99,9,59,3,3,25,1/31/2018 0:00
Botad,94,1,56,4,10,23,1/31/2018 0:00
Navsari,628,24,224,22,72,286,1/31/2018 0:00
Valsad,215,5,66,9,61,74,1/31/2018 0:00
Devbhumi-Dwarka,230,20,113,11,14,72,1/31/2018 0:00
Panchmahals,486,10,148,24,30,274,1/31/2018 0:00
Sabarkantha,184,6,83,13,24,58,1/31/2018 0:00
Surendranagar,140,10,78,5,14,33,1/31/2018 0:00
Vadodara,228,5,112,11,33,67,1/31/2018 0:00
Mahesana,17,4,3,1,4,5,1/31/2018 0:00
Mahesana,674,22,115,20,126,391,1/31/2018 0:00
Mahisagar,182,3,91,10,8,70,1/31/2018 0:00
Sabarkantha,404,9,208,24,41,122,1/31/2018 0:00
Amreli,210,14,87,12,23,74,1/31/2018 0:00
Porbandar,139,8,46,2,25,58,1/31/2018 0:00
Rajkot,168,9,67,6,20,66,1/31/2018 0:00
Surat,272,9,95,8,36,124,1/31/2018 0:00
Tapi,172,8,42,14,16,92,1/31/2018 0:00
Aravalli,290,11,64,25,41,149,1/31/2018 0:00
Chhotaudepur,247,1,112,9,57,68,1/31/2018 0:00
Narmada,212,1,151,3,22,35,1/31/2018 0:00
Porbandar,241,18,103,17,14,89,1/31/2018 0:00
Surat,253,4,74,8,21,146,1/31/2018 0:00
Bharuch,64,2,33,3,14,12,1/31/2018 0:00
Gandhinagar,312,21,68,26,74,123,1/31/2018 0:00
Junagadh,211,10,88,8,43,62,1/31/2018 0:00
Narmada,164,7,56,13,12,76,1/31/2018 0:00
Patan,156,6,125,3,8,14,1/31/2018 0:00
Jamnagar,115,11,63,7,8,26,1/31/2018 0:00
Kheda,205,9,82,21,29,64,1/31/2018 0:00
Mahisagar,166,12,86,8,9,51,1/31/2018 0:00
Patan,121,2,51,2,7,59,1/31/2018 0:00
Porbandar,512,40,123,35,70,244,1/31/2018 0:00
Ahmedabad,131,2,67,3,22,37,1/31/2018 0:00
Anand,297,21,120,18,57,81,1/31/2018 0:00
Bhavnagar,185,12,114,7,13,39,1/31/2018 0:00
Dahod,554,10,223,15,57,249,1/31/2018 0:00
Kachchh,406,4,158,18,29,197,1/31/2018 0:00
Kachchh,370,17,191,11,43,108,1/31/2018 0:00
Sabarkantha,162,8,57,14,27,56,1/31/2018 0:00
Banaskantha,150,4,48,7,9,82,1/31/2018 0:00
Banaskantha,467,10,154,21,50,232,1/31/2018 0:00
Dahod,596,5,321,14,47,209,1/31/2018 0:00
Devbhumi-Dwarka,138,10,66,5,18,39,1/31/2018 0:00
Surendranagar,149,9,83,1,24,32,1/31/2018 0:00
Ahmedabad,430,33,86,47,65,199,1/31/2018 0:00
Aravalli,184,7,62,15,34,66,1/31/2018 0:00
Banaskantha,94,4,43,6,23,18,1/31/2018 0:00
Junagadh,166,14,85,6,17,44,1/31/2018 0:00
Mahesana,312,11,45,13,15,228,1/31/2018 0:00
Gandhinagar,369,16,161,23,49,120,1/31/2018 0:00
Patan,137,6,48,8,20,55,1/31/2018 0:00
Surat,315,10,155,16,57,77,1/31/2018 0:00
Vadodara,322,6,133,15,68,100,1/31/2018 0:00
Vadodara,125,6,64,8,12,35,1/31/2018 0:00
Dahod,954,13,550,42,48,301,1/31/2018 0:00
Mahesana,267,3,42,5,19,198,1/31/2018 0:00
Patan,211,11,99,8,16,77,1/31/2018 0:00
Rajkot,104,1,82,3,4,14,1/31/2018 0:00
Tapi,321,19,107,19,24,152,1/31/2018 0:00
Kachchh,382,8,128,9,36,201,1/31/2018 0:00
Kachchh,333,3,233,9,21,67,1/31/2018 0:00
Patan,105,3,60,0,18,24,1/31/2018 0:00
Surendranagar,225,9,123,11,31,51,1/31/2018 0:00
Vadodara,666,36,267,50,57,256,1/31/2018 0:00
Banaskantha,154,1,111,0,14,29,1/31/2018 0:00
Kachchh,135,5,61,7,21,41,1/31/2018 0:00
Mahesana,268,4,27,7,19,211,1/31/2018 0:00
Rajkot,2236,181,327,224,295,1209,1/31/2018 0:00
Sabarkantha,306,9,195,4,28,70,1/31/2018 0:00
Surat,295,7,97,7,82,102,1/31/2018 0:00
Banaskantha,390,10,150,21,63,146,1/31/2018 0:00
Bharuch,162,3,92,11,14,42,1/31/2018 0:00
Mahesana,337,17,132,18,31,139,1/31/2018 0:00
Surat,227,9,65,11,36,106,1/31/2018 0:00
Surendranagar,233,8,150,8,34,33,1/31/2018 0:00
Tapi,121,7,73,3,9,29,1/31/2018 0:00
Vadodara,329,5,170,17,50,87,1/31/2018 0:00
Anand,477,22,87,38,129,201,1/31/2018 0:00
Anand,260,14,111,24,24,87,1/31/2018 0:00
Gir Somnath,192,13,92,9,19,59,1/31/2018 0:00
Junagadh,216,13,120,6,18,59,1/31/2018 0:00
Panchmahals,515,12,174,17,73,239,1/31/2018 0:00
Valsad,267,12,43,17,91,104,1/31/2018 0:00
Ahmedabad,236,16,125,10,48,37,1/31/2018 0:00
Bhavnagar,106,4,68,5,6,23,1/31/2018 0:00
Kachchh,273,6,95,14,51,107,1/31/2018 0:00
Rajkot,194,15,71,7,35,66,1/31/2018 0:00
Surat,226,8,69,14,37,98,1/31/2018 0:00
Anand,129,3,76,4,16,30,1/31/2018 0:00
Bharuch,288,9,125,12,43,99,1/31/2018 0:00
Morbi,157,4,119,4,12,18,1/31/2018 0:00
Morbi,164,5,85,3,26,45,1/31/2018 0:00
Panchmahals,404,7,121,15,41,220,1/31/2018 0:00
Tapi,673,32,202,18,50,371,1/31/2018 0:00
Banaskantha,137,2,55,8,37,35,1/31/2018 0:00
Botad,142,10,83,3,9,37,1/31/2018 0:00
Gir Somnath,196,9,129,1,15,42,1/31/2018 0:00
Mahesana,106,4,50,2,11,39,1/31/2018 0:00
Surat,4231,232,473,310,739,2477,1/31/2018 0:00
Surendranagar,180,7,109,5,21,38,1/31/2018 0:00
Ahmedabad,109,4,63,4,12,26,1/31/2018 0:00
Ahmedabad,172,7,89,10,23,43,1/31/2018 0:00
Amreli,139,8,80,5,9,37,1/31/2018 0:00
Bharuch,470,9,165,13,35,248,1/31/2018 0:00
Dahod,553,8,295,13,30,207,1/31/2018 0:00
Gir Somnath,283,14,137,17,20,95,1/31/2018 0:00
Junagadh,315,44,25,22,36,188,1/31/2018 0:00
Aravalli,130,3,69,9,17,32,1/31/2018 0:00
Banaskantha,219,1,88,7,19,104,1/31/2018 0:00
Dahod,480,7,300,32,14,127,1/31/2018 0:00
Mahisagar,434,8,200,24,67,135,1/31/2018 0:00
Sabarkantha,166,1,118,3,7,37,1/31/2018 0:00
Surat,281,5,96,6,75,99,1/31/2018 0:00
Surendranagar,57,5,13,6,9,24,1/31/2018 0:00
Amreli,246,9,170,4,23,40,1/31/2018 0:00
Gandhinagar,502,41,236,35,44,146,1/31/2018 0:00
Jamnagar,345,21,168,14,27,115,1/31/2018 0:00
Junagadh,293,9,113,7,20,144,1/31/2018 0:00
Kheda,132,1,62,6,26,37,1/31/2018 0:00
Sabarkantha,448,19,184,32,72,141,1/31/2018 0:00
Surendranagar,105,4,60,3,14,24,1/31/2018 0:00
Bharuch,236,8,128,8,22,70,1/31/2018 0:00
Bharuch,164,1,107,4,14,38,1/31/2018 0:00
Kheda,225,18,87,15,35,70,1/31/2018 0:00
Patan,123,12,49,3,10,48,1/31/2018 0:00
Surendranagar,283,6,176,7,33,61,1/31/2018 0:00
Amreli,113,10,58,4,9,32,1/31/2018 0:00
Banaskantha,340,3,214,7,20,96,1/31/2018 0:00
Bharuch,263,6,98,8,39,112,1/31/2018 0:00
Bhavnagar,438,32,261,12,29,104,1/31/2018 0:00
Dahod,1044,19,657,30,49,289,1/31/2018 0:00
Devbhumi-Dwarka,427,26,179,15,26,181,1/31/2018 0:00
Navsari,454,17,139,39,65,194,1/31/2018 0:00
Vadodara,113,2,54,2,8,47,1/31/2018 0:00
Ahmedabad,13335,1311,1014,1657,1485,7868,1/31/2018 0:00
Anand,238,13,93,18,34,80,1/31/2018 0:00
Aravalli,269,9,145,11,28,76,1/31/2018 0:00
Kachchh,158,9,84,6,7,52,1/31/2018 0:00
Morbi,487,22,185,13,84,183,1/31/2018 0:00
Rajkot,145,7,52,12,17,57,1/31/2018 0:00
Sabarkantha,167,4,57,6,18,82,1/31/2018 0:00
Surendranagar,284,14,126,13,55,76,1/31/2018 0:00
Ahmedabad,317,9,152,10,88,58,1/31/2018 0:00
Amreli,338,12,189,19,44,74,1/31/2018 0:00
Anand,294,7,157,12,32,86,1/31/2018 0:00
Bhavnagar,354,20,208,16,42,68,1/31/2018 0:00
Jamnagar,1218,93,264,117,131,613,1/31/2018 0:00
Mahesana,125,3,58,5,16,43,1/31/2018 0:00
Narmada,482,6,277,4,43,152,1/31/2018 0:00
Narmada,432,18,134,16,65,199,1/31/2018 0:00
Surat,470,21,128,26,51,244,1/31/2018 0:00
Valsad,608,32,55,52,162,307,1/31/2018 0:00
Bhavnagar,1344,157,145,166,156,720,1/31/2018 0:00
Bhavnagar,285,21,137,26,30,71,1/31/2018 0:00
Botad,229,13,137,5,20,54,1/31/2018 0:00
Kachchh,180,5,98,11,9,57,1/31/2018 0:00
Mahisagar,196,11,91,7,27,60,1/31/2018 0:00
Narmada,357,12,102,24,19,200,1/31/2018 0:00
Valsad,924,37,242,35,77,533,1/31/2018 0:00
Aravalli,268,8,132,16,29,83,1/31/2018 0:00
Banaskantha,186,0,114,3,16,53,1/31/2018 0:00
Dahod,151,2,94,5,12,38,1/31/2018 0:00
Jamnagar,119,3,55,5,16,40,1/31/2018 0:00
Kheda,103,8,23,9,12,51,1/31/2018 0:00
Mahesana,409,11,101,12,56,229,1/31/2018 0:00
Rajkot,121,8,46,1,20,46,1/31/2018 0:00
The Dangs,184,7,72,10,22,73,1/31/2018 0:00
Valsad,891,21,409,26,79,356,1/31/2018 0:00
Amreli,116,1,71,0,19,25,1/31/2018 0:00
Bhavnagar,133,11,74,4,17,27,1/31/2018 0:00
Botad,290,8,158,16,31,77,1/31/2018 0:00
Dahod,277,4,169,10,16,78,1/31/2018 0:00
Gir Somnath,204,14,141,6,4,39,1/31/2018 0:00
Kheda,357,14,202,15,26,100,1/31/2018 0:00
Kheda,189,8,104,10,21,46,1/31/2018 0:00
Mahesana,361,12,47,16,41,245,1/31/2018 0:00
Panchmahals,307,4,137,12,29,125,1/31/2018 0:00
Rajkot,116,11,55,6,22,22,1/31/2018 0:00
Vadodara,2742,147,349,251,496,1499,1/31/2018 0:00
Amreli,464,40,191,25,35,173,1/31/2018 0:00
Banaskantha,287,2,129,7,30,119,1/31/2018 0:00
Gandhinagar,1016,62,154,66,228,506,1/31/2018 0:00
Kheda,374,31,56,38,101,148,1/31/2018 0:00
Mahisagar,154,10,100,2,11,31,1/31/2018 0:00
Panchmahals,676,15,232,33,72,324,1/31/2018 0:00
Patan,193,4,131,5,23,30,1/31/2018 0:00
Amreli,353,27,186,9,17,114,1/31/2018 0:00
Amreli,224,5,159,8,11,41,1/31/2018 0:00
Bharuch,424,6,188,13,90,127,1/31/2018 0:00
Chhotaudepur,197,1,118,6,20,52,1/31/2018 0:00
Gir Somnath,252,15,132,3,38,64,1/31/2018 0:00
Junagadh,158,15,38,12,26,67,1/31/2018 0:00
Kheda,300,8,146,16,38,92,1/31/2018 0:00
Morbi,234,10,94,7,31,92,1/31/2018 0:00
Navsari,384,19,93,33,47,192,1/31/2018 0:00
Rajkot,232,11,136,8,25,52,1/31/2018 0:00
The Dangs,303,9,118,7,26,143,1/31/2018 0:00
Ahmedabad,120,3,79,3,10,25,1/31/2018 0:00
Ahmedabad,245,6,110,12,45,72,1/31/2018 0:00
Anand,233,9,86,18,40,80,1/31/2018 0:00
Aravalli,165,3,84,8,12,58,1/31/2018 0:00
Mahesana,285,9,53,7,31,185,1/31/2018 0:00
Panchmahals,217,4,113,11,18,71,1/31/2018 0:00
Patan,255,15,77,27,27,109,1/31/2018 0:00
Jamnagar,200,15,80,6,23,76,2/28/2018 0:00
Kachchh,903,27,327,50,60,439,2/28/2018 0:00
Rajkot,111,5,48,4,16,38,2/28/2018 0:00
Banaskantha,173,5,95,4,25,44,2/28/2018 0:00
Rajkot,249,3,93,10,46,97,2/28/2018 0:00
Amreli,298,9,155,16,23,95,2/28/2018 0:00
Morbi,124,5,59,2,17,41,2/28/2018 0:00
Jamnagar,176,11,84,6,21,54,2/28/2018 0:00
Junagadh,342,28,86,23,35,170,2/28/2018 0:00
Navsari,222,11,24,29,32,126,2/28/2018 0:00
Kachchh,442,25,252,14,27,124,2/28/2018 0:00
Sabarkantha,113,10,47,4,19,33,2/28/2018 0:00
Banaskantha,265,12,113,27,24,89,2/28/2018 0:00
Junagadh,121,7,37,3,19,55,2/28/2018 0:00
Tapi,595,27,148,23,87,310,2/28/2018 0:00
Bhavnagar,194,16,64,5,19,90,2/28/2018 0:00
Kheda,75,3,50,4,6,12,2/28/2018 0:00
Rajkot,137,8,53,7,23,46,2/28/2018 0:00
Bhavnagar,112,6,62,6,15,23,2/28/2018 0:00
Junagadh,101,7,43,11,12,28,2/28/2018 0:00
Navsari,230,19,43,24,36,108,2/28/2018 0:00
Amreli,154,6,99,2,0,47,2/28/2018 0:00
Panchmahals,149,4,34,1,11,99,2/28/2018 0:00
The Dangs,125,2,54,2,9,58,2/28/2018 0:00
Chhotaudepur,728,12,389,22,49,256,2/28/2018 0:00
Chhotaudepur,196,2,130,3,18,43,2/28/2018 0:00
Surendranagar,220,11,71,15,35,88,2/28/2018 0:00
Anand,202,11,85,14,43,49,2/28/2018 0:00
Chhotaudepur,392,10,184,10,33,155,2/28/2018 0:00
Surat,257,5,100,10,39,103,2/28/2018 0:00
Banaskantha,562,9,403,12,23,115,2/28/2018 0:00
Banaskantha,149,3,89,4,10,43,2/28/2018 0:00
Bharuch,461,16,172,30,92,150,2/28/2018 0:00
Kheda,39,2,9,6,8,14,2/28/2018 0:00
Valsad,94,2,17,6,34,35,2/28/2018 0:00
Ahmedabad,232,1,152,9,24,46,2/28/2018 0:00
Navsari,170,15,42,14,27,72,2/28/2018 0:00
Patan,125,11,34,8,13,59,2/28/2018 0:00
Banaskantha,112,4,27,6,10,65,2/28/2018 0:00
Banaskantha,302,14,115,19,29,125,2/28/2018 0:00
Dahod,511,12,276,14,22,187,2/28/2018 0:00
Devbhumi-Dwarka,111,13,34,6,12,46,2/28/2018 0:00
Surendranagar,115,4,66,3,22,20,2/28/2018 0:00
Amreli,166,11,79,10,18,48,2/28/2018 0:00
Porbandar,131,13,43,10,13,52,2/28/2018 0:00
Rajkot,127,5,50,6,18,48,2/28/2018 0:00
Surat,257,4,100,14,30,109,2/28/2018 0:00
Tapi,140,4,55,5,12,64,2/28/2018 0:00
Bhavnagar,77,9,37,2,17,12,2/28/2018 0:00
Botad,80,3,48,4,10,15,2/28/2018 0:00
Navsari,587,27,207,30,71,252,2/28/2018 0:00
Valsad,224,7,84,14,49,70,2/28/2018 0:00
Mahesana,12,1,1,2,3,5,2/28/2018 0:00
Mahesana,522,19,74,35,81,313,2/28/2018 0:00
Mahisagar,266,9,121,7,18,111,2/28/2018 0:00
Sabarkantha,383,22,199,22,44,96,2/28/2018 0:00
Aravalli,261,13,55,25,44,124,2/28/2018 0:00
Chhotaudepur,205,10,83,10,44,58,2/28/2018 0:00
Narmada,199,4,144,2,17,32,2/28/2018 0:00
Porbandar,242,12,90,14,30,96,2/28/2018 0:00
Surat,265,7,87,5,23,143,2/28/2018 0:00
Devbhumi-Dwarka,209,7,103,13,19,67,2/28/2018 0:00
Panchmahals,460,14,144,23,38,241,2/28/2018 0:00
Sabarkantha,163,8,53,15,37,50,2/28/2018 0:00
Surendranagar,129,6,70,9,7,37,2/28/2018 0:00
Vadodara,196,2,92,5,28,69,2/28/2018 0:00
Chhotaudepur,273,4,143,11,35,80,2/28/2018 0:00
Gir Somnath,471,14,285,16,74,82,2/28/2018 0:00
Junagadh,231,13,102,12,28,76,2/28/2018 0:00
Mahisagar,315,15,125,30,29,116,2/28/2018 0:00
Dahod,910,22,502,51,70,265,2/28/2018 0:00
Mahesana,288,5,27,12,14,230,2/28/2018 0:00
Patan,200,5,120,9,12,54,2/28/2018 0:00
Rajkot,89,2,55,2,7,23,2/28/2018 0:00
Tapi,212,7,76,11,14,104,2/28/2018 0:00
Bharuch,73,1,31,3,12,26,2/28/2018 0:00
Gandhinagar,249,7,69,17,60,96,2/28/2018 0:00
Junagadh,204,16,74,7,40,67,2/28/2018 0:00
Narmada,167,10,45,12,13,87,2/28/2018 0:00
Patan,212,8,147,4,7,46,2/28/2018 0:00
Kachchh,314,11,162,11,26,104,2/28/2018 0:00
Kachchh,305,4,194,7,28,72,2/28/2018 0:00
Patan,122,4,58,6,22,32,2/28/2018 0:00
Surendranagar,188,4,92,9,35,48,2/28/2018 0:00
Vadodara,637,29,198,77,81,252,2/28/2018 0:00
Bharuch,242,6,122,7,30,77,2/28/2018 0:00
Bharuch,125,4,48,9,21,43,2/28/2018 0:00
Kheda,190,19,57,18,38,58,2/28/2018 0:00
Patan,143,2,45,6,24,66,2/28/2018 0:00
Surendranagar,194,8,97,10,23,56,2/28/2018 0:00
Jamnagar,98,10,36,5,9,38,2/28/2018 0:00
Kheda,211,10,90,13,35,63,2/28/2018 0:00
Mahisagar,156,5,83,10,7,51,2/28/2018 0:00
Patan,155,5,56,8,11,75,2/28/2018 0:00
Porbandar,450,38,97,27,64,224,2/28/2018 0:00
Ahmedabad,246,13,130,10,36,57,2/28/2018 0:00
Bhavnagar,99,10,47,7,4,31,2/28/2018 0:00
Kachchh,232,2,49,17,56,108,2/28/2018 0:00
Rajkot,178,11,52,9,41,65,2/28/2018 0:00
Surat,193,4,74,14,22,79,2/28/2018 0:00
Amreli,421,29,125,30,61,176,2/28/2018 0:00
Banaskantha,192,3,85,7,23,74,2/28/2018 0:00
Gandhinagar,934,68,111,82,212,461,2/28/2018 0:00
Kheda,354,25,82,25,96,126,2/28/2018 0:00
Mahisagar,130,8,76,3,12,31,2/28/2018 0:00
Panchmahals,608,15,149,34,101,309,2/28/2018 0:00
Patan,230,9,102,5,27,87,2/28/2018 0:00
Anand,423,20,72,38,122,171,2/28/2018 0:00
Anand,231,13,86,23,28,81,2/28/2018 0:00
Gir Somnath,217,23,108,8,18,60,2/28/2018 0:00
Junagadh,209,15,99,9,23,63,2/28/2018 0:00
Panchmahals,425,8,144,9,91,173,2/28/2018 0:00
Valsad,230,13,26,15,69,107,2/28/2018 0:00
Gandhinagar,289,24,115,25,40,85,2/28/2018 0:00
Patan,124,7,45,9,21,42,2/28/2018 0:00
Surat,284,5,128,7,58,86,2/28/2018 0:00
Vadodara,320,9,127,12,75,97,2/28/2018 0:00
Vadodara,123,2,50,7,22,42,2/28/2018 0:00
Amreli,107,7,51,9,12,28,2/28/2018 0:00
Banaskantha,391,9,194,9,38,141,2/28/2018 0:00
Bharuch,227,5,79,14,26,103,2/28/2018 0:00
Bhavnagar,405,16,219,16,41,113,2/28/2018 0:00
Dahod,953,14,519,59,74,287,2/28/2018 0:00
Devbhumi-Dwarka,425,19,156,22,30,198,2/28/2018 0:00
Navsari,365,22,102,29,78,134,2/28/2018 0:00
Vadodara,111,3,51,4,11,42,2/28/2018 0:00
Anand,108,4,68,3,11,22,2/28/2018 0:00
Bharuch,249,9,84,11,42,103,2/28/2018 0:00
Morbi,141,1,91,5,17,27,2/28/2018 0:00
Morbi,115,7,58,4,18,28,2/28/2018 0:00
Panchmahals,432,17,103,20,52,240,2/28/2018 0:00
Tapi,638,33,152,28,50,375,2/28/2018 0:00
Ahmedabad,110,3,72,3,13,19,2/28/2018 0:00
Anand,272,11,150,16,39,56,2/28/2018 0:00
Bhavnagar,156,2,83,5,29,37,2/28/2018 0:00
Dahod,447,12,180,11,56,188,2/28/2018 0:00
Kachchh,357,10,156,13,49,129,2/28/2018 0:00
Kachchh,324,8,177,18,32,89,2/28/2018 0:00
Sabarkantha,146,11,52,11,17,55,2/28/2018 0:00
Banaskantha,174,2,33,3,24,112,2/28/2018 0:00
Botad,129,1,87,5,10,26,2/28/2018 0:00
Gir Somnath,124,3,60,4,17,40,2/28/2018 0:00
Mahesana,92,7,44,4,7,30,2/28/2018 0:00
Surat,3753,192,412,329,589,2231,2/28/2018 0:00
Surendranagar,161,3,85,6,18,49,2/28/2018 0:00
Ahmedabad,137,4,89,6,9,29,2/28/2018 0:00
Ahmedabad,197,11,94,10,32,50,2/28/2018 0:00
Amreli,127,4,79,5,11,28,2/28/2018 0:00
Bharuch,342,11,141,13,38,139,2/28/2018 0:00
Dahod,560,6,260,17,52,225,2/28/2018 0:00
Gir Somnath,251,10,87,9,33,112,2/28/2018 0:00
Junagadh,390,43,43,34,48,222,2/28/2018 0:00
Banaskantha,358,10,122,14,50,162,2/28/2018 0:00
Bharuch,119,5,55,10,17,32,2/28/2018 0:00
Mahesana,387,17,107,14,23,226,2/28/2018 0:00
Surat,210,7,60,13,29,101,2/28/2018 0:00
Surendranagar,170,2,94,5,25,44,2/28/2018 0:00
Tapi,132,9,63,4,19,37,2/28/2018 0:00
Vadodara,319,6,157,17,58,81,2/28/2018 0:00
Banaskantha,140,4,94,2,6,34,2/28/2018 0:00
Kachchh,133,5,88,5,11,24,2/28/2018 0:00
Mahesana,114,6,27,2,17,62,2/28/2018 0:00
Rajkot,1986,158,209,175,351,1093,2/28/2018 0:00
Sabarkantha,321,5,191,9,34,82,2/28/2018 0:00
Surat,248,3,81,9,79,76,2/28/2018 0:00
Aravalli,110,4,63,2,13,28,2/28/2018 0:00
Banaskantha,172,2,53,4,22,91,2/28/2018 0:00
Dahod,541,7,291,24,23,196,2/28/2018 0:00
Mahisagar,383,7,157,37,34,148,2/28/2018 0:00
Sabarkantha,153,0,105,1,9,38,2/28/2018 0:00
Surat,289,8,97,14,59,111,2/28/2018 0:00
Surendranagar,45,3,25,0,5,12,2/28/2018 0:00
Ahmedabad,140,4,89,5,21,21,2/28/2018 0:00
Ahmedabad,264,8,149,5,50,52,2/28/2018 0:00
Anand,201,5,65,16,33,82,2/28/2018 0:00
Aravalli,142,6,63,9,18,46,2/28/2018 0:00
Mahesana,247,0,96,9,24,118,2/28/2018 0:00
Panchmahals,192,5,96,9,14,68,2/28/2018 0:00
Patan,354,17,78,21,45,193,2/28/2018 0:00
Bhavnagar,1139,146,117,112,143,621,2/28/2018 0:00
Bhavnagar,247,14,104,16,32,81,2/28/2018 0:00
Botad,222,9,119,14,34,46,2/28/2018 0:00
Kachchh,191,10,108,6,15,52,2/28/2018 0:00
Mahisagar,189,10,84,5,28,62,2/28/2018 0:00
Narmada,405,23,81,20,30,251,2/28/2018 0:00
Valsad,878,33,296,29,58,462,2/28/2018 0:00
Ahmedabad,11823,1140,749,1609,1308,7017,2/28/2018 0:00
Anand,225,8,82,18,41,76,2/28/2018 0:00
Aravalli,245,11,122,11,37,64,2/28/2018 0:00
Kachchh,155,4,86,7,7,51,2/28/2018 0:00
Morbi,397,18,140,14,66,159,2/28/2018 0:00
Rajkot,112,9,44,2,12,45,2/28/2018 0:00
Sabarkantha,165,3,67,4,38,53,2/28/2018 0:00
Surendranagar,192,14,58,7,33,80,2/28/2018 0:00
Aravalli,271,11,118,13,31,98,2/28/2018 0:00
Banaskantha,156,9,87,5,15,40,2/28/2018 0:00
Dahod,137,3,76,5,8,45,2/28/2018 0:00
Jamnagar,101,4,36,6,25,30,2/28/2018 0:00
Kheda,108,12,37,8,14,37,2/28/2018 0:00
Mahesana,309,5,74,8,44,178,2/28/2018 0:00
Rajkot,67,4,23,3,2,35,2/28/2018 0:00
The Dangs,158,5,61,2,15,75,2/28/2018 0:00
Valsad,890,16,454,25,58,337,2/28/2018 0:00
Amreli,231,3,149,4,13,62,2/28/2018 0:00
Gandhinagar,388,31,158,27,60,112,2/28/2018 0:00
Jamnagar,265,25,89,8,26,117,2/28/2018 0:00
Junagadh,200,13,63,6,26,92,2/28/2018 0:00
Kheda,130,7,58,8,21,36,2/28/2018 0:00
Sabarkantha,420,16,169,21,63,151,2/28/2018 0:00
Surendranagar,87,5,48,3,12,19,2/28/2018 0:00
Ahmedabad,230,10,98,7,69,46,2/28/2018 0:00
Amreli,277,20,125,13,30,89,2/28/2018 0:00
Anand,259,10,143,14,16,76,2/28/2018 0:00
Bhavnagar,287,12,127,20,35,93,2/28/2018 0:00
Jamnagar,1207,115,250,104,139,600,2/28/2018 0:00
Mahesana,88,1,36,2,16,33,2/28/2018 0:00
Narmada,461,8,271,5,43,134,2/28/2018 0:00
Narmada,429,8,100,17,48,256,2/28/2018 0:00
Surat,424,22,121,23,60,198,2/28/2018 0:00
Valsad,534,33,48,55,125,273,2/28/2018 0:00
Ahmedabad,393,30,73,53,71,166,2/28/2018 0:00
Aravalli,167,14,58,11,30,54,2/28/2018 0:00
Banaskantha,113,9,51,7,21,25,2/28/2018 0:00
Junagadh,164,7,101,7,13,36,2/28/2018 0:00
Mahesana,293,8,44,12,27,202,2/28/2018 0:00
Amreli,112,2,75,0,12,23,2/28/2018 0:00
Bhavnagar,104,2,62,4,9,27,2/28/2018 0:00
